customer_type,customerid,first_purchase_date,locationid,name,zipcode
B2C,1,2024-05-13,1,Sanders LLC,01330
B2C,2,2021-04-21,2,Harris-David,44040
B2B,3,2021-08-17,3,"Mccoy, Hansen and Elliott",23352
B2B,4,2022-09-16,4,Gill Group,64289
B2C,5,2024-05-06,5,Flores Inc,78491
B2B,6,2020-09-05,6,Shannon Group,39669
B2C,7,2021-10-22,7,"Cabrera, Rodriguez and Perez",35690
B2B,8,2024-05-13,8,Cook-Andrade,INVALID_88009
B2B,9,2021-01-30,9,Alvarez-Jordan,21410
B2B,10,2024-10-01,10,"Morris, Reynolds and Anderson",55820
B2B,11,2024-06-11,11,"Grant, Jones and Patterson",39591
B2B,12,2024-04-10,12,Owens and Sons,58407
B2B,13,2023-12-16,13,"Cross, Baldwin and Adams",08387
B2B,14,2021-02-09,14,Lutz LLC,82101
B2C,15,2024-03-16,15,Nguyen-Vaughan,64653
B2C,16,2022-04-14,16,Taylor-Manning,62266
B2C,17,2021-04-10,17,"Clark, Blanchard and Goodwin",39521
B2B,18,2023-03-13,18,Nelson-Curtis,13622
B2B,19,2022-01-27,19,Black-Brandt,93354
B2B,20,2022-04-08,20,Willis-Moore,76855
B2B,21,2024-05-18,21,Newton Group,95326
B2C,22,2023-06-29,22,"Lynn, Harrison and Wood",INVALID_35587
B2C,23,2024-04-01,23,"Pacheco, Alvarado and Newman",17408
B2B,24,2023-03-09,24,Aguilar PLC,59456
B2B,25,2024-05-03,25,"Patterson, Cline and Richards",INVALID_68787
B2B,26,2021-12-10,26,"Graves, Cole and Gibbs",13679
B2C,27,2022-12-15,27,"Rodriguez, Kelly and Johnson",INVALID_89762
B2B,28,2021-09-18,28,Hurst LLC,58567
B2C,29,2022-01-09,29,"Reid, Ward and Ramirez",02136
B2B,30,2021-04-15,30,Hubbard-Barnes,11367
B2C,31,2020-05-06,31,Sanford Ltd,33765
B2B,32,2023-10-09,32,Smith Ltd,50384
B2B,33,2020-12-28,33,Garcia-Lloyd,69567
B2C,34,2021-06-30,34,"Hicks, Wong and Garcia",05500
B2C,35,2021-05-22,35,Bennett PLC,52470
B2C,36,2022-11-01,36,"Smith, Johnson and Ellison",38111
B2B,37,2023-12-11,37,Branch-Heath,48533
B2C,38,2021-12-08,38,"Brock, Stewart and Rodriguez",57114
B2B,39,2020-06-21,39,Williams and Sons,81248
B2B,40,2025-04-08,40,Rocha-Lee,18509
B2C,41,2023-04-23,41,Page LLC,83879
B2C,42,2024-06-28,42,"Chambers, Harrell and Lopez",83704
B2C,43,2021-06-18,43,Jackson-Mora,45312
B2B,44,2023-03-02,44,Jones-Torres,30252
B2C,45,2025-04-26,45,Christensen-Perez,53816
B2C,46,2022-11-07,46,Kelly and Sons,25242
B2C,47,2022-04-13,1,"Gray, Jensen and Martin",01842
B2B,48,2023-12-24,2,Smith-Rocha,05289
B2C,49,2022-01-18,3,Ross PLC,98761
B2C,50,2020-12-31,4,"Walker, Norton and Lam",32527
B2C,51,2023-06-05,5,"Garcia, Vasquez and Robinson",48323
B2B,52,2023-05-24,6,Love Ltd,56363
B2B,53,2020-10-02,7,"Baker, Turner and Mendez",02236
B2B,54,2021-07-22,8,Gordon and Sons,35611
B2B,55,2024-09-09,9,"Perez, Williams and Morgan",28792
B2B,56,2025-02-06,10,Cobb Inc,34364
B2C,57,2023-09-29,11,Lee Group,99950
B2C,58,2020-07-16,12,"Jones, Jenkins and Wilson",64756
B2C,59,2025-02-16,13,Ryan LLC,47617
B2B,60,2024-04-04,14,Dudley Group,38310
B2B,61,2024-01-16,15,Dunlap Inc,81858
B2B,62,2024-04-16,16,Ross and Sons,09824
B2B,63,2022-03-15,17,Huffman LLC,26927
B2B,64,2021-06-15,18,Flores-Goodman,73065
B2B,65,2022-01-16,19,"Friedman, Ball and Hurley",78968
B2B,66,2022-05-14,20,"Walker, Hodge and Dawson",19695
B2C,67,2023-03-23,21,Turner-Wallace,67438
B2B,68,2023-07-15,22,Smith-Walls,29563
B2C,69,2024-11-25,23,Petersen-Reynolds,13437
B2B,70,2025-02-03,24,"Duncan, Jackson and Barrera",10299
B2B,71,2024-04-05,25,Kaufman Inc,17799
B2C,72,2020-07-23,26,"Peterson, Price and Whitney",83516
B2C,73,2020-07-31,27,"Anderson, Miller and Harper",87814
B2C,74,2023-02-23,28,Small and Sons,75778
B2B,75,2020-06-11,29,Taylor Group,78047
B2C,76,2022-01-13,30,Roth Inc,74551
B2B,77,2022-09-01,31,"Hernandez, Williams and Ramirez",43396
B2C,78,2021-03-20,32,Kelley and Sons,INVALID_23274
B2C,79,2021-02-06,33,Martin LLC,46678
B2C,80,2025-03-15,34,Hogan Ltd,02536
B2B,81,2022-01-07,35,"Reed, Crawford and Patterson",32857
B2B,82,2024-08-20,36,"Pratt, Grant and Hall",54057
B2B,83,2023-01-16,37,"Davis, Blevins and Perez",INVALID_27834
B2B,84,2022-07-31,38,Middleton-Perry,67761
B2C,85,2020-11-19,39,Walker-Chang,03503
B2B,86,2024-04-05,40,"Hernandez, Collins and Hall",25955
B2B,87,2023-01-15,41,"Moody, Gilbert and Brown",85969
B2C,88,2024-03-09,42,"Reynolds, Miller and Wilkinson",22057
B2C,89,2021-08-28,43,Alvarado-Freeman,73246
B2B,90,2022-06-06,44,"Roth, Tapia and Ramirez",07182
B2C,91,2022-12-31,45,Garcia Inc,68304
B2C,92,2024-06-16,46,Weeks and Sons,69993
B2B,93,2024-01-21,1,"Goodwin, Hall and Perkins",20401
B2B,94,2020-09-21,2,Dickerson-Torres,81188
B2B,95,2022-09-27,3,Brown PLC,20997
B2C,96,2020-09-02,4,Baker Group,28174
B2C,97,2021-06-23,5,Rodriguez-Potts,79526
B2C,98,2021-06-13,6,"Olson, Gallagher and Ferguson",34714
B2B,99,2022-04-11,7,"Murray, Wood and Bates",55200
B2B,100,2024-07-21,8,Hendrix Ltd,89986
B2B,101,2023-10-29,9,Jones-Wilson,41636
B2C,102,2023-06-09,10,Hayes-Zamora,13802
B2C,103,2022-04-27,11,Turner and Sons,25457
B2C,104,2021-05-16,12,"Kelley, Butler and Wood",80202
B2B,105,2024-09-11,13,"Oliver, Jackson and Kelley",47616
B2B,106,2025-04-15,14,Horton and Sons,19283
B2C,107,2022-06-11,15,null,12027
B2B,108,2021-03-18,16,Castro Group,08693
B2C,109,2025-02-17,17,Bullock-Moore,31078
B2B,110,2022-04-26,18,"Smith, Briggs and Walker",85389
B2B,111,2021-09-19,19,"Davis, Obrien and Stanley",50885
B2B,112,2021-01-06,20,Hoffman-Edwards,07991
B2B,113,2025-04-16,21,"Reid, Miller and Burns",INVALID_79551
B2C,114,2023-11-18,22,"Williams, Holmes and Gutierrez",20915
B2C,115,2020-07-17,23,Rocha-Maynard,15468
B2C,116,2023-01-25,24,Roberts-Byrd,46231
B2B,117,2024-02-21,25,Hernandez Group,94116
B2B,118,2023-01-12,26,Chapman-Horn,72005
