base_price,brand,category,description,name,productid,subbrand
1670.68,"Wilson, House and David",Vacuum Pump,"powder-coated vacuum pump made from carbon fiber, designed for high-temperature applications. Features corrosion-resistant construction with embrace interactive ROI technology. Cross-group holistic moratorium",Carbon Fiber Vacuum Pump,1,Ltd
3345.91,Miller-Donovan,Pneumatic Cylinder,"CNC-machined pneumatic cylinder made from titanium alloy, designed for food-grade applications. Features self-lubricating construction with transition 24/7 e-tailers technology. Polarized tertiary methodology",Titanium Alloy Pneumatic Cylinder,2,PLC
4241.4,Rivera Inc,Hydraulic Valve,"aerospace-grade hydraulic valve made from anodized aluminum, designed for hazardous environments applications. Features smart-enabled construction with transition distributed web services technology. Public-key solution-oriented functionalities",Anodized Aluminum Hydraulic Valve,3,PLC
4825.04,Hall Inc,Control Panel,"ISO-9001 certified control panel made from ceramic composite, designed for heavy-duty applications. Features corrosion-resistant construction with transform ubiquitous vortals technology. Reverse-engineered executive budgetary management",Ceramic Composite Control Panel,4,and Sons
3827.93,Williams and Sons,Pneumatic Cylinder,"ISO-9001 certified pneumatic cylinder made from stainless steel, designed for high-temperature applications. Features EMI-shielded construction with engineer distributed e-services technology. Persevering neutral task-force",Stainless Steel Pneumatic Cylinder,5,Ltd
2187.72,"Martin, Allen and Beltran",Hydraulic Valve,"powder-coated hydraulic valve made from reinforced nylon, designed for high-temperature applications. Features corrosion-resistant construction with deploy end-to-end initiatives technology. Compatible 5thgeneration concept",Reinforced Nylon Hydraulic Valve,6,LLC
2245.27,Jones-Hall,Control Panel,"IP68-rated control panel made from reinforced nylon, designed for heavy-duty applications. Features smart-enabled construction with morph frictionless action-items technology. Open-architected intangible portal",Reinforced Nylon Control Panel,7,Inc
4271.36,"Hester, Elliott and Watson",Plc Module,"IP68-rated PLC module made from carbon fiber, designed for heavy-duty applications. Features corrosion-resistant construction with architect clicks-and-mortar eyeballs technology. Optimized system-worthy knowledge user",Carbon Fiber Plc Module,8,Inc
1694.46,null,Industrial Sensor,"IP68-rated industrial sensor made from carbon fiber, designed for heavy-duty applications. Features energy efficient construction with embrace world-class schemas technology. Object-based coherent attitude",Carbon Fiber Industrial Sensor,9,Ltd
4720.08,Lloyd-King,Plc Module,"CNC-machined PLC module made from cast iron, designed for precision applications. Features EMI-shielded construction with generate vertical paradigms technology. Balanced motivating archive",Cast Iron Plc Module,10,Inc
4227.03,"Nunez, Richardson and Doyle",Gearbox,"aerospace-grade gearbox made from copper, designed for hazardous environments applications. Features corrosion-resistant construction with aggregate efficient infrastructures technology. Adaptive zero tolerance intranet",Copper Gearbox,11,LLC
4554.03,Hill Inc,Conveyor Belt,"ROHS-compliant conveyor belt made from stainless steel, designed for food-grade applications. Features self-lubricating construction with productize visionary niches technology. Balanced full-range paradigm",Stainless Steel Conveyor Belt,12,Group
1966.69,Francis PLC,Gearbox,"IP68-rated gearbox made from cast iron, designed for outdoor applications. Features corrosion-resistant construction with extend 24/365 partnerships technology. Fundamental executive collaboration",Cast Iron Gearbox,13,LLC
